RefDes;Description;Family;Package;Sheet
U1;TRIGGER;TRI;-;memory-reg-3x3
U2;TRIGGER;TRI;-;memory-reg-3x3
U3;TRIGGER;TRI;-;memory-reg-3x3
U4;TRIGGER;TRI;-;memory-reg-3x3
U5;TRIGGER;TRI;-;memory-reg-3x3
U6;TRIGGER;TRI;-;memory-reg-3x3
U7;TRIGGER;TRI;-;memory-reg-3x3
U8;TRIGGER;TRI;-;memory-reg-3x3
U9;TRIGGER;TRI;-;memory-reg-3x3
U10;MX;TRI;-;memory-reg-3x3
U11;DMX;TRI;-;memory-reg-3x3
U12;DMX;TRI;-;memory-reg-3x3
U13;MX;TRI;-;memory-reg-3x3
U14;DMX;TRI;-;memory-reg-3x3
U15;DMX;TRI;-;memory-reg-3x3
U16;MX;TRI;-;memory-reg-3x3
U17;DMX;TRI;-;memory-reg-3x3
U18;DMX;TRI;-;memory-reg-3x3
